Gene,Drug,Literature
MAB_0006,mutations
MAB_0019,mutations
MAB_0540,mutations
MAB_0591,mutations
MAB_1080,mutations
MAB_1081,mutations
MAB_1409c,mutations
MAB_1448,mutations
MAB_1483,mutations
MAB_1496c,mutations
MAB_1497c,mutations
MAB_1846,mutations
MAB_2297,mutations
MAB_2299c,mutations
MAB_2315,mutations
MAB_2355c,mutations
MAB_2385,mutations
MAB_2780c,mutations
MAB_2800,mutations
MAB_2875,mutations
MAB_2983c,mutations
MAB_2989,mutations
MAB_3189c,mutations
MAB_3508c,mutations
MAB_3542c,mutations
MAB_3543c,mutations
MAB_3815c,mutations
MAB_3819c,mutations
MAB_3820c,mutations
MAB_3849c,mutations
MAB_3851c,mutations
MAB_3869c,mutations
MAB_4097c,mutations
MAB_4098c,mutations
MAB_4099c,mutations
MAB_4124,mutations
MAB_4384,mutations
MAB_4395,mutations
MAB_4416c,mutations
MAB_4532c,mutations
MAB_r5051,mutations
MAB_r5052,mutations
